code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
300433,蓝思科技,元器件,湖南,38.09,41.39,41.55,471.22,171.16,237.64,17.38,0.42,0.28,4.36,3.11,20150318,99.26,2.39,8.43,4.11,23.57,5.38,64516.0
603648,畅联股份,仓储物流,上海,30.06,2.73,3.69,19.43,9.79,7.2,9.04,2.45,0.245,4.52,2.17,20170913,3.18,0.86,4.73,-28.18,20.0,9.36,33044.0
600803,新奥股份,农药化肥,河北,8.41,12.29,12.29,255.05,85.39,72.85,17.94,1.46,0.875,7.57,1.3,19940103,60.65,4.93,-0.61,3.96,18.84,11.05,43456.0
002787,华源控股,广告包装,江苏,32.73,1.67,3.11,24.01,15.81,4.27,6.87,2.21,0.139,4.54,1.34,20151231,3.67,1.18,22.23,-21.54,19.35,3.56,18171.0
000925,众合科技,专用机械,浙江,29.83,4.53,5.5,69.43,33.95,3.34,18.59,3.38,0.153,4.32,1.4,19990611,0.04,0.01,42.54,105.01,30.01,4.99,31705.0
002797,第一创业,证券,深圳,53.09,35.02,35.02,348.78,0.0,1.4,26.02,0.74,0.099,2.53,2.76,20160511,15.75,0.45,41.48,176.3,0.0,19.49,233831.0
600572,康恩贝,中成药,浙江,27.54,26.61,26.67,107.75,49.82,24.56,7.12,0.27,0.18,2.04,3.21,20040412,22.07,0.83,-2.94,-38.77,76.07,8.8,113521.0
600845,宝信软件,软件服务,上海,47.91,8.33,11.41,107.39,77.47,11.26,26.87,2.36,0.5329999999999999,5.96,5.71,19940311,26.98,2.37,12.01,24.82,29.89,13.44,41875.0
002047,宝鹰股份,装修装饰,深圳,21.45,12.63,13.41,104.1,100.32,0.53,16.99,1.27,0.212,3.11,1.95,20050531,19.23,1.43,-4.2,-6.68,17.4,5.8,44092.0
600159,大龙地产,区域地产,北京,117.46,8.3,8.3,43.6,40.31,0.7,3.43,0.41,0.015,2.72,0.86,19980526,10.59,1.28,-17.19,140.63,37.01,4.58,44268.0
000833,粤桂股份,造纸,广西,45.13,3.78,6.68,36.12,15.48,8.05,13.86,2.07,0.077,4.15,1.12,19981111,6.27,0.94,27.96,-47.13,6.89,1.66,49195.0
603200,上海洗霸,环境保护,上海,27.17,0.35,1.01,10.45,8.59,0.31,3.87,3.82,0.514,7.79,2.39,20170601,2.8,2.77,40.07,-12.14,34.17,13.61,6395.0
002472,双环传动,机械基件,浙江,26.3,5.56,6.87,82.79,31.03,28.45,15.16,2.21,0.146,5.0,1.02,20100910,11.58,1.69,-2.74,-47.31,18.75,4.43,27859.0
002398,垒知集团,其他建材,福建,8.55,5.3,6.93,41.43,29.23,3.76,2.56,0.37,0.449,3.97,1.29,20100506,17.5,2.53,24.83,53.4,30.38,13.19,22424.0
600583,海油工程,石油开采,天津,0.0,44.21,44.21,301.71,144.5,109.43,42.48,0.96,-0.14400000000000002,4.98,1.21,20020205,112.3,2.54,21.23,-354.87,1.86,-7.88,103924.0
601882,海天精工,机床制造,浙江,52.99,5.22,5.22,21.57,14.09,6.36,2.9,0.56,0.099,2.41,2.89,20161107,3.93,0.75,-18.49,-37.06,21.21,6.27,18287.0
002518,科士达,电器仪表,深圳,16.77,5.59,5.82,39.54,28.13,6.98,5.03,0.86,0.395,4.35,2.03,20101207,13.15,2.26,-8.81,3.67,35.49,14.02,20000.0
300700,岱勒新材,矿物制品,湖南,0.0,0.44,0.82,10.87,5.62,3.54,2.39,2.9,-0.188,6.3,3.02,20170912,1.72,2.08,-30.36,-131.65,15.82,-8.01,14794.0
300478,杭州高新,橡胶,浙江,0.0,1.26,1.27,9.73,6.09,2.35,1.8,1.42,-0.107,4.22,2.64,20150610,1.85,1.46,-13.18,-151.12,15.1,-2.51,8046.0
000839,中信国安,综合类,北京,117.28,39.19,39.2,171.96,37.15,3.31,10.61,0.27,0.021,2.32,1.4,19971031,32.5,0.83,-18.02,1396.25,10.77,3.34,225726.0
600243,青海华鼎,机床制造,青海,0.0,4.39,4.39,23.42,14.89,5.88,12.44,2.84,-0.192,3.32,1.12,20001120,-2.5,-0.57,-4.94,1.74,8.16,-16.31,19741.0
300402,宝色股份,专用机械,江苏,88.0,2.02,2.02,19.91,14.43,4.25,2.24,1.11,0.075,3.11,2.83,20141010,1.68,0.83,35.09,389.91,21.08,2.57,14800.0
002054,德美化工,化工原料,广东,24.62,3.13,4.19,30.48,15.27,5.5,1.38,0.33,0.226,4.48,1.66,20060725,11.88,2.83,-7.96,171.43,37.34,8.14,42464.0
300228,富瑞特装,化工机械,江苏,281.16,4.14,4.73,38.61,23.21,9.66,8.78,1.86,0.012,3.81,1.22,20110608,3.74,0.79,30.54,114.61,22.43,0.5,39737.0
600458,时代新材,塑料,湖南,312.16,8.03,8.03,153.31,94.14,28.3,30.57,3.81,0.016,5.84,1.11,20021219,8.13,1.01,-3.83,-85.44,16.9,0.16,44113.0
600730,中国高科,综合类,北京,0.0,5.87,5.87,22.5,12.92,0.03,0.51,0.09,-0.003,3.35,1.38,19960726,8.46,1.44,5.7,-152.68,83.26,-2.29,61684.0
002663,普邦股份,建筑工程,广东,35.91,12.82,17.96,90.31,61.62,2.7,19.32,1.08,0.057999999999999996,2.91,0.95,20120316,13.45,0.75,-16.0,-25.25,15.45,4.89,102835.0
002367,康力电梯,运输设备,江苏,21.91,5.24,7.98,54.37,36.56,12.32,11.82,1.48,0.253,3.67,2.01,20100312,7.16,0.9,19.81,224.12,29.5,7.4,41819.0
300639,凯普生物,医疗保健,广东,39.36,1.08,2.17,12.4,6.44,3.42,4.24,1.95,0.49,4.77,5.31,20170412,4.55,2.09,27.88,33.72,81.19,20.28,15131.0
